3/2/26,Testing and punchlist tracking,,,,,,,,
,,,,,,,,,
,Jason,,,,Trevor,Jason,,Trevor / Jason,Trevor
Page,Test Action,Expected Result,Actual Result,Pass / Fail?,Retest Ready?,Retest Result?,Pass / Fail?,Comments,Image
Landing Page,,,,,,,,,
,Hover over changes size or colors.,Q- do we want the 'active' components to do anything?  May confuse users if clicking and nothing happens?,,?,,,,jbluths@gmail.com True working components would make the load time on the page very slow. ,
,,,,,,,,,
,,,,,,,,,
Partner Demo Page,,,,,,,,,
,mouse click on ANY icon,Q- should we just have ONE link to the log-in screen and not all clicks taking user there?,Takes user directly to log-in screen.,?,,,,,
,,Q-Should we use 'accordian' style menus to REDUCE SCROLLING,Reduce scrolling?,?,,,,,
,Return to landing page?,A clickable link to return to landing page,No link exists,Fail,,,,,
,,,,,,,,,
,,,,,,,,,
From EMAIL - Log-in screen,,,,,,,,,
-First Time User CLICK to sign up,User clicks to sign up,Enter Email,EMail accepted,Pass,,,,,
,,Create password?,No way to create password,Fail,,,,,
-Invitation email,"User knows where to click for access?  Phone, Desktop, Tablet",Phone 'Activate My Access-->' link is prominent and discernable,Phone - Button is clear and visible,Pass,,,,,
,,Desktop - prominent and discernable,Link is confusing and inconsistent box with Phone,Fail,,,,,
,,Tablet,TBD,TBD,,,,,
,,,,,,,,,
-Forgot Password Link,User enters email for password recover,Email accepted and email sent,"Email accepted, but no email to reset password received",Fail,,,,,
,Click sign-up link,Takes you to waitlist sign-up page,Waitlist page appears,Pass,,,,,
,Waitlist sign up received on Admin side?,TBD,TBD,TBD,,,,,
,,,,,,,,,
,,,,,,,,,
Log-in screen,,,,,,,,,
,User email populated if has an account,email is pre-populated if the user has an account already,User emails are NOT saved/pre-populated,Fail,,,,,
,,,,,,,,,
Default Screen - Dashboard,,,,,,,,,
,Click 'Network Report',(Confirm w/ Trevor),Q - Takes you to Clinical Intelligence Screen,TBD,,,,,
,Click 'log session+',(Confirm w/ Trevor),Q - opens the Wellness Journey Screen,TBD,,,,,
,Click cells w/ data (scroll down),(Confirm w/ Trevor),Q-Clicked 'safety' and it took me to the 'Molecular Pharmacology' screen.  ,TBD,,,,"Also, there is no 'back' button.  It dead ends.  Shouldn't it take user back to 'Dashboard'?",
,Click refresh link,Page and data refresh,Returns message 'Not Loaded',Fail,,,,,
Suggested next steps ,Click #1,Links to NEW wellness journey page,user directed to wellness journey start,pass,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
,Click #2,Links to Clinical Intelligence Page,User directed to clinical intelligence,Pass,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
,Click #3,Links to Follow-up session,Q - goes to Wellness Journey start,TBD,,,,"NOTE:  When hitting 'back' button, returns user to top of dashboard.  Expect it returns to the same scroll position in the page.",
